id,class
320000,2.0
320001,0.0
320002,2.0
320003,0.0
320004,2.0
320005,1.0
320006,1.0
320007,2.0
320008,2.0
320009,2.0
320010,2.0
320011,2.0
320012,1.0
320013,2.0
320014,2.0
320015,0.0
320016,2.0
320017,1.0
320018,2.0
320019,2.0
320020,0.0
320021,2.0
320022,2.0
320023,2.0
320024,2.0
320025,2.0
320026,0.0
320027,1.0
320028,2.0
320029,0.0
320030,0.0
320031,2.0
320032,2.0
320033,0.0
320034,0.0
320035,0.0
320036,0.0
320037,2.0
320038,2.0
320039,0.0
320040,0.0
320041,1.0
320042,2.0
320043,2.0
320044,0.0
320045,2.0
320046,0.0
320047,2.0
320048,0.0
320049,0.0
320050,2.0
320051,2.0
320052,2.0
320053,2.0
320054,2.0
320055,2.0
320056,2.0
320057,0.0
320058,2.0
320059,0.0
320060,2.0
320061,2.0
320062,0.0
320063,2.0
320064,1.0
320065,2.0
320066,2.0
320067,2.0
320068,2.0
320069,2.0
320070,0.0
320071,2.0
320072,2.0
320073,2.0
320074,0.0
320075,2.0
320076,2.0
320077,2.0
320078,2.0
320079,0.0
320080,1.0
320081,2.0
320082,2.0
320083,2.0
320084,1.0
320085,2.0
320086,2.0
320087,2.0
320088,2.0
320089,0.0
320090,2.0
320091,1.0
320092,2.0
320093,0.0
320094,0.0
320095,1.0
320096,2.0
320097,2.0
320098,2.0
320099,0.0
320100,2.0
320101,2.0
320102,0.0
320103,1.0
320104,2.0
320105,2.0
320106,0.0
320107,0.0
320108,1.0
320109,2.0
320110,2.0
320111,2.0
320112,2.0
320113,2.0
320114,2.0
320115,2.0
320116,2.0
320117,2.0
320118,2.0
320119,2.0
320120,2.0
320121,2.0
320122,1.0
320123,1.0
320124,2.0
320125,1.0
320126,2.0
320127,0.0
320128,2.0
320129,2.0
320130,2.0
320131,2.0
320132,2.0
320133,2.0
320134,2.0
320135,0.0
320136,2.0
320137,2.0
320138,0.0
320139,2.0
320140,2.0
320141,1.0
320142,0.0
320143,1.0
320144,2.0
320145,2.0
320146,0.0
320147,2.0
320148,2.0
320149,2.0
320150,2.0
320151,0.0
320152,0.0
320153,2.0
320154,2.0
320155,0.0
320156,2.0
320157,1.0
320158,2.0
320159,0.0
320160,0.0
320161,0.0
320162,1.0
320163,2.0
320164,0.0
320165,2.0
320166,2.0
320167,0.0
320168,2.0
320169,2.0
320170,1.0
320171,0.0
320172,2.0
320173,0.0
320174,2.0
320175,0.0
320176,0.0
320177,0.0
320178,2.0
320179,2.0
320180,0.0
320181,2.0
320182,2.0
320183,2.0
320184,0.0
320185,2.0
320186,2.0
320187,2.0
320188,2.0
320189,2.0
320190,2.0
320191,2.0
320192,2.0
320193,2.0
320194,0.0
320195,2.0
320196,2.0
320197,2.0
320198,1.0
320199,2.0
320200,2.0
320201,2.0
320202,2.0
320203,1.0
320204,0.0
320205,0.0
320206,2.0
320207,2.0
320208,2.0
320209,2.0
320210,1.0
320211,2.0
320212,1.0
320213,2.0
320214,0.0
320215,2.0
320216,0.0
320217,0.0
320218,2.0
320219,2.0
320220,0.0
320221,2.0
320222,0.0
320223,0.0
320224,2.0
320225,1.0
320226,2.0
320227,0.0
320228,0.0
320229,2.0
320230,2.0
320231,0.0
320232,1.0
320233,2.0
320234,2.0
320235,0.0
320236,2.0
320237,0.0
320238,0.0
320239,1.0
320240,2.0
320241,1.0
320242,0.0
320243,2.0
320244,2.0
320245,2.0
320246,2.0
320247,0.0
320248,1.0
320249,2.0
320250,0.0
320251,0.0
320252,0.0
320253,2.0
320254,0.0
320255,0.0
320256,2.0
320257,1.0
320258,2.0
320259,0.0
320260,0.0
320261,0.0
320262,0.0
320263,2.0
320264,2.0
320265,0.0
320266,0.0
320267,0.0
320268,0.0
320269,2.0
320270,0.0
320271,2.0
320272,0.0
320273,2.0
320274,2.0
320275,1.0
320276,2.0
320277,2.0
320278,0.0
320279,2.0
320280,2.0
320281,2.0
320282,0.0
320283,1.0
320284,0.0
320285,2.0
320286,2.0
320287,1.0
320288,0.0
320289,1.0
320290,0.0
320291,2.0
320292,0.0
320293,1.0
320294,2.0
320295,0.0
320296,0.0
320297,2.0
320298,2.0
320299,0.0
320300,2.0
320301,0.0
320302,2.0
320303,2.0
320304,0.0
320305,2.0
320306,0.0
320307,2.0
320308,2.0
320309,2.0
320310,0.0
320311,2.0
320312,1.0
320313,2.0
320314,1.0
320315,2.0
320316,2.0
320317,2.0
320318,2.0
320319,2.0
320320,0.0
320321,2.0
320322,2.0
320323,2.0
320324,0.0
320325,2.0
320326,0.0
320327,2.0
320328,0.0
320329,0.0
320330,2.0
320331,2.0
320332,2.0
320333,1.0
320334,2.0
320335,2.0
320336,2.0
320337,0.0
320338,2.0
320339,0.0
320340,2.0
320341,0.0
320342,0.0
320343,0.0
320344,2.0
320345,2.0
320346,2.0
320347,2.0
320348,2.0
320349,0.0
320350,2.0
320351,2.0
320352,2.0
320353,2.0
320354,1.0
320355,0.0
320356,0.0
320357,2.0
320358,0.0
320359,0.0
320360,0.0
320361,0.0
320362,2.0
320363,0.0
320364,2.0
320365,0.0
320366,2.0
320367,2.0
320368,0.0
320369,0.0
320370,1.0
320371,1.0
320372,2.0
320373,2.0
320374,2.0
320375,2.0
320376,1.0
320377,2.0
320378,0.0
320379,0.0
320380,2.0
320381,0.0
320382,2.0
320383,2.0
320384,0.0
320385,0.0
320386,2.0
320387,1.0
320388,2.0
320389,2.0
320390,2.0
320391,2.0
320392,0.0
320393,2.0
320394,0.0
320395,2.0
320396,0.0
320397,2.0
320398,0.0
320399,2.0
320400,2.0
320401,0.0
320402,2.0
320403,0.0
320404,2.0
320405,2.0
320406,0.0
320407,0.0
320408,0.0
320409,2.0
320410,1.0
320411,2.0
320412,0.0
320413,1.0
320414,2.0
320415,2.0
320416,1.0
320417,2.0
320418,2.0
320419,2.0
320420,2.0
320421,2.0
320422,0.0
320423,1.0
320424,0.0
320425,2.0
320426,0.0
320427,2.0
320428,0.0
320429,0.0
320430,0.0
320431,0.0
320432,2.0
320433,2.0
320434,2.0
320435,2.0
320436,2.0
320437,2.0
320438,0.0
320439,0.0
320440,2.0
320441,2.0
320442,2.0
320443,2.0
320444,2.0
320445,2.0
320446,0.0
320447,0.0
320448,0.0
320449,2.0
320450,2.0
320451,2.0
320452,2.0
320453,2.0
320454,0.0
320455,2.0
320456,2.0
320457,2.0
320458,0.0
320459,2.0
320460,1.0
320461,2.0
320462,0.0
320463,0.0
320464,0.0
320465,0.0
320466,0.0
320467,0.0
320468,2.0
320469,0.0
320470,2.0
320471,2.0
320472,2.0
320473,0.0
320474,2.0
320475,2.0
320476,2.0
320477,0.0
320478,0.0
320479,2.0
320480,2.0
320481,0.0
320482,1.0
320483,0.0
320484,2.0
320485,1.0
320486,2.0
320487,2.0
320488,0.0
320489,0.0
320490,1.0
320491,1.0
320492,0.0
320493,2.0
320494,2.0
320495,0.0
320496,0.0
320497,2.0
320498,1.0
320499,2.0
320500,2.0
320501,2.0
320502,0.0
320503,2.0
320504,0.0
320505,1.0
320506,2.0
320507,2.0
320508,2.0
320509,1.0
320510,0.0
320511,0.0
320512,2.0
320513,0.0
320514,1.0
320515,2.0
320516,0.0
320517,2.0
320518,2.0
320519,2.0
320520,2.0
320521,2.0
320522,0.0
320523,1.0
320524,2.0
320525,0.0
320526,2.0
320527,2.0
320528,2.0
320529,2.0
320530,2.0
320531,2.0
320532,0.0
320533,0.0
320534,1.0
320535,2.0
320536,2.0
320537,0.0
320538,0.0
320539,2.0
320540,2.0
320541,2.0
320542,2.0
320543,1.0
320544,2.0
320545,2.0
320546,0.0
320547,0.0
320548,2.0
320549,2.0
320550,2.0
320551,2.0
320552,2.0
320553,2.0
320554,2.0
320555,2.0
320556,2.0
320557,0.0
320558,2.0
320559,0.0
320560,2.0
320561,2.0
320562,0.0
320563,2.0
320564,0.0
320565,1.0
320566,2.0
320567,0.0
320568,2.0
320569,2.0
320570,0.0
320571,0.0
320572,0.0
320573,2.0
320574,2.0
320575,2.0
320576,2.0
320577,0.0
320578,2.0
320579,2.0
320580,0.0
320581,2.0
320582,2.0
320583,0.0
320584,0.0
320585,0.0
320586,0.0
320587,2.0
320588,2.0
320589,2.0
320590,2.0
320591,2.0
320592,0.0
320593,2.0
320594,2.0
320595,2.0
320596,0.0
320597,0.0
320598,0.0
320599,2.0
320600,2.0
320601,0.0
320602,1.0
320603,0.0
320604,0.0
320605,2.0
320606,2.0
320607,2.0
320608,2.0
320609,2.0
320610,2.0
320611,2.0
320612,0.0
320613,2.0
320614,0.0
320615,2.0
320616,2.0
320617,0.0
320618,2.0
320619,1.0
320620,1.0
320621,2.0
320622,2.0
320623,0.0
320624,2.0
320625,2.0
320626,2.0
320627,1.0
320628,0.0
320629,2.0
320630,0.0
320631,0.0
320632,0.0
320633,2.0
320634,2.0
320635,0.0
320636,2.0
320637,0.0
320638,2.0
320639,0.0
320640,0.0
320641,0.0
320642,2.0
320643,2.0
320644,0.0
320645,2.0
320646,2.0
320647,0.0
320648,2.0
320649,2.0
320650,2.0
320651,0.0
320652,0.0
320653,2.0
320654,2.0
320655,0.0
320656,1.0
320657,0.0
320658,2.0
320659,2.0
320660,0.0
320661,2.0
320662,2.0
320663,2.0
320664,2.0
320665,2.0
320666,0.0
320667,0.0
320668,0.0
320669,2.0
320670,2.0
320671,0.0
320672,0.0
320673,1.0
320674,2.0
320675,2.0
320676,2.0
320677,0.0
320678,2.0
320679,0.0
320680,0.0
320681,1.0
320682,0.0
320683,2.0
320684,2.0
320685,0.0
320686,2.0
320687,2.0
320688,2.0
320689,0.0
320690,1.0
320691,0.0
320692,0.0
320693,2.0
320694,2.0
320695,2.0
320696,2.0
320697,2.0
320698,1.0
320699,2.0
320700,0.0
320701,2.0
320702,2.0
320703,2.0
320704,0.0
320705,1.0
320706,2.0
320707,1.0
320708,1.0
320709,1.0
320710,0.0
320711,0.0
320712,2.0
320713,2.0
320714,0.0
320715,2.0
320716,2.0
320717,1.0
320718,2.0
320719,2.0
320720,0.0
320721,0.0
320722,0.0
320723,0.0
320724,2.0
320725,0.0
320726,2.0
320727,2.0
320728,2.0
320729,0.0
320730,2.0
320731,2.0
320732,2.0
320733,2.0
320734,2.0
320735,2.0
320736,0.0
320737,1.0
320738,1.0
320739,2.0
320740,2.0
320741,0.0
320742,2.0
320743,0.0
320744,0.0
320745,0.0
320746,0.0
320747,2.0
320748,2.0
320749,1.0
320750,2.0
320751,0.0
320752,0.0
320753,0.0
320754,2.0
320755,0.0
320756,0.0
320757,2.0
320758,2.0
320759,0.0
320760,0.0
320761,0.0
320762,2.0
320763,2.0
320764,2.0
320765,0.0
320766,2.0
320767,0.0
320768,2.0
320769,1.0
320770,1.0
320771,2.0
320772,2.0
320773,0.0
320774,2.0
320775,2.0
320776,1.0
320777,2.0
320778,0.0
320779,2.0
320780,2.0
320781,2.0
320782,2.0
320783,2.0
320784,1.0
320785,2.0
320786,0.0
320787,2.0
320788,2.0
320789,2.0
320790,1.0
320791,2.0
320792,0.0
320793,1.0
320794,0.0
320795,0.0
320796,2.0
320797,2.0
320798,0.0
320799,0.0
320800,2.0
320801,0.0
320802,2.0
320803,2.0
320804,2.0
320805,0.0
320806,2.0
320807,2.0
320808,2.0
320809,1.0
320810,2.0
320811,2.0
320812,2.0
320813,2.0
320814,2.0
320815,2.0
320816,0.0
320817,2.0
320818,1.0
320819,2.0
320820,2.0
320821,2.0
320822,0.0
320823,1.0
320824,0.0
320825,1.0
320826,0.0
320827,2.0
320828,0.0
320829,2.0
320830,0.0
320831,2.0
320832,2.0
320833,2.0
320834,0.0
320835,2.0
320836,2.0
320837,2.0
320838,0.0
320839,2.0
320840,2.0
320841,2.0
320842,2.0
320843,2.0
320844,2.0
320845,2.0
320846,1.0
320847,1.0
320848,2.0
320849,2.0
320850,0.0
320851,2.0
